package	version_code	version_name	apk	apk_role	sha256	size_bytes	signer_sha256	signer_dn	signature_schemes	source_stamp_verified	source_stamp_sha256	permissions
com.amazon.avod.thirdpartyclient	466002047	3.0.466.2047	com.amazon.avod.thirdpartyclient/base.apk	base	4f04bf217150887ec6bb503ff11f400894bb2dec311831118213d9f9802ea5ae	194568330	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v2	false		amazon.permission.COLLECT_METRICS,amazon.permission.USE_TCOMM,amazon.speech.permission.SEND_ALEXA_DIRECTIVE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.BLUETOOTH,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.FOREGROUND_SERVICE_MEDIA_PROCESSING,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.POST_NOTIFICATIONS,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECORD_AUDIO,android.permission.SCHEDULE_EXACT_ALARM,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.amazon.CONTENT_PROVIDER_ACCESS,com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER,com.amazon.avod.SDK_ACCESS,com.amazon.avod.thirdpartyclient.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED,com.amazon.dcp.metrics.permission.METRICS_PERMISSION,com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed,com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE,com.amazon.dcp.sso.permission.MANAGE_COR_PFM,com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS,com.amazon.dcp.sso.permission.account.changed,com.amazon.device.environment.permission.SWITCH_STAGE,com.amazon.identity.auth.device.perm.AUTH_SDK,com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER,com.amazon.identity.permission.CAN_CALL_CROSS_APP_CONTEXT_PROVIDER,com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER,com.amazon.identity.permission.GENERIC_IPC,com.android.vending.BILLING,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.samsung.permission.USE_MHDR_SERVICE
com.amazon.kindle	1286465011	8.153.0.100(2.0.93586.0)	com.amazon.kindle/base.apk	base	a5dedb40f710a5cd5738db9ae2bef5e553ac40f3acd9c3783ac0fbba4b92e603	130549321	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v2	false		amazon.permission.COLLECT_METRICS,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.BLUETOOTH,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH_ADVERTISE,android.permission.BLUETOOTH_CONNECT,android.permission.BLUETOOTH_SCAN,android.permission.BROADCAST_STICKY,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.POST_NOTIFICATIONS,android.permission.READ_BASIC_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,android.permission.USE_CREDENTIALS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.amazon.STORE_ACCESS,com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER,com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED,com.amazon.dcp.messaging.permission.HANDLE_DEVICE_MESSAGE,com.amazon.dcp.metrics.permission.METRICS_PERMISSION,com.amazon.dcp.permission.USE_PERSISTENCE_HELPER,com.amazon.dcp.settings.permission.READ_SETTINGS,com.amazon.dcp.sso.permission.AMAZON_ACCOUNT_PROPERTY,com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed,com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE,com.amazon.dcp.sso.permission.MANAGE_COR_PFM,com.amazon.dcp.sso.permission.MANAGE_DEVICE_AND_USER_DATA,com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS,com.amazon.dcp.sso.permission.account.changed,com.amazon.device.messaging.permission.RECEIVE,com.amazon.identity.auth.device.perm.AUTH_SDK,com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER,com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER,com.amazon.identity.permission.GENERIC_IPC,com.amazon.kindle.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.amazon.kindle.cms.CMS_ACCESS,com.amazon.kindle.otter.settings.RECEIVE_GOODREADS_UNLINK,com.amazon.kindle.permission.RECEIVE_ADM_MESSAGE,com.amazon.kindle.socialsharing.PERMISSION_SHARE,com.amazon.whisperjoin.deviceprovisioningservice.AllowListPolicyUpdatePermission,com.amazon.whisperjoin.deviceprovisioningservice.ArcusUpdatePermission,com.amazon.whisperjoin.deviceprovisioningservice.FFSServiceAction.permission,com.android.vending.BILLING,com.audible.hushpuppy.tablet.permission.COMPANION_MAPPING,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY
com.apple.atve.androidtv.appletv	2050085	2.5.0	com.apple.atve.androidtv.appletv/base.apk	base	6f2893c493344f0561d34f928660d3ff7a12dfed6797c47972ef59fba10bcc10	32690243	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.INTERNET,android.permission.POST_NOTIFICATIONS,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_BIOMETRIC,android.permission.USE_FINGERPRINT,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.android.providers.tv.permission.WRITE_EPG_DATA,com.android.vending.BILLING,com.apple.atve.androidtv.appletv.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.apple.atve.androidtv.appletv	2050085		com.apple.atve.androidtv.appletv/split_config.arm64_v8a.apk	split:config.arm64_v8a	5eac94ca292a0a72cc7f4ae699fa28060f61aee550859e4ab5f7c2369a6d21db	78103878	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.apple.atve.androidtv.appletv	2050085		com.apple.atve.androidtv.appletv/split_config.en.apk	split:config.en	dd0ea0bfd7ade562ce2dd393eb5537bf7214062b6d69ffbce5f0f52db8074d5c	528793	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.apple.atve.androidtv.appletv	2050085		com.apple.atve.androidtv.appletv/split_config.mdpi.apk	split:config.mdpi	dffa3c5392a3e5159e2b6fe0fa9f0a542d6b2967914db464c86d4c600dd50014	235957	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.audible.application	2090263005	26.30.05	com.audible.application/base.apk	base	290811d9fe0c1fa3e76b69b988db6c9e4b191db10686ed8261a38a40c0fa2e72	160114506	57901d5c9f6744f28636f98f68ae5a3248571c0ef610470c09b08b34b6b3a80f	CN=Jeffrey Palm, OU=Connected Devices, O="Audible, Inc", L=Newark, ST=New Jersey, C=US	v3	false		amazon.permission.COLLECT_METRICS,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.BLUETOOTH_ADVERTISE,android.permission.BLUETOOTH_CONNECT,android.permission.BLUETOOTH_SCAN,android.permission.CAMERA,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,android.permission.DETECT_SCREEN_CAPTURE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.FOREGROUND_SERVICE_SPECIAL_USE,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.POST_NOTIFICATIONS,android.permission.READ_BASIC_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECORD_AUDIO,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.SCHEDULE_EXACT_ALARM,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.amazon.alexa.alertsca.events.AlertEvent,com.amazon.alexa.externalmediaplayer.permission.WAKE_UP,com.amazon.alexa.handsfree.latencyreporter.LATENCY_PERMISSION,com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER,com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED,com.amazon.dcp.metrics.permission.METRICS_PERMISSION,com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed,com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE,com.amazon.dcp.sso.permission.MANAGE_COR_PFM,com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS,com.amazon.dcp.sso.permission.account.changed,com.amazon.identity.auth.device.perm.AUTH_SDK,com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER,com.amazon.kindle.cms.CMS_ACCESS,com.android.providers.tv.permission.READ_EPG_DATA,com.android.providers.tv.permission.WRITE_EPG_DATA,com.android.vending.BILLING,com.audible.application.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.audible.application.externalmediaplayer.permission.WAKE_UP,com.audible.application.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.sec.android.app.samsungapps.accesspermission.ASAA_PROVIDER.READ
com.cbs.app	420000795	16.18.0	com.cbs.app/base.apk	base	2c2ae1d48738cabcdd0048186b57625f3a5677d9218f51c91f2dc1a1bbe26c49	40388345	a7520085336e50053de6b8b92e5ab89b6f62b5c22653e5684870586d02fb014e	CN=CBS Interactive Mobile, OU=CBS Interactive Mobile, O=CBS Interactive, L=San Francisco, ST=California, C=01	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_ADSERVICES_AD_ID,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AD_SERVICES_CONFIG,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.INTERNET,android.permission.POST_NOTIFICATIONS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.WAKE_LOCK,com.amazon.privacypass.ATTEST,com.android.vending.BILLING,com.cbs.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.tivo.app.READ_TIVO_INFO
com.cbs.app	420000795		com.cbs.app/split_config.arm64_v8a.apk	split:config.arm64_v8a	20c03caa897562c2b19115a8fcc53bcd44e46d33e19bc849f7f9e8c23e8fa3d4	4223459	a7520085336e50053de6b8b92e5ab89b6f62b5c22653e5684870586d02fb014e	CN=CBS Interactive Mobile, OU=CBS Interactive Mobile, O=CBS Interactive, L=San Francisco, ST=California, C=01	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.cbs.app	420000795		com.cbs.app/split_config.xxxhdpi.apk	split:config.xxxhdpi	43a13ab6fafa9d7919380b707f63af145a753fb246815e488bb233883fa90dd9	924165	a7520085336e50053de6b8b92e5ab89b6f62b5c22653e5684870586d02fb014e	CN=CBS Interactive Mobile, OU=CBS Interactive Mobile, O=CBS Interactive, L=San Francisco, ST=California, C=01	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
