package	version_code	version_name	apk	apk_role	sha256	size_bytes	signer_sha256	signer_dn	signature_schemes	source_stamp_verified	source_stamp_sha256	permissions
com.amazon.avod.thirdpartyclient	466002047	3.0.466.2047	com.amazon.avod.thirdpartyclient/base.apk	base	4f04bf217150887ec6bb503ff11f400894bb2dec311831118213d9f9802ea5ae	194568330	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v2	false		amazon.permission.COLLECT_METRICS,amazon.permission.USE_TCOMM,amazon.speech.permission.SEND_ALEXA_DIRECTIVE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.BLUETOOTH,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.FOREGROUND_SERVICE_MEDIA_PROCESSING,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.POST_NOTIFICATIONS,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECORD_AUDIO,android.permission.SCHEDULE_EXACT_ALARM,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.amazon.CONTENT_PROVIDER_ACCESS,com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER,com.amazon.avod.SDK_ACCESS,com.amazon.avod.thirdpartyclient.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED,com.amazon.dcp.metrics.permission.METRICS_PERMISSION,com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed,com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE,com.amazon.dcp.sso.permission.MANAGE_COR_PFM,com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS,com.amazon.dcp.sso.permission.account.changed,com.amazon.device.environment.permission.SWITCH_STAGE,com.amazon.identity.auth.device.perm.AUTH_SDK,com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER,com.amazon.identity.permission.CAN_CALL_CROSS_APP_CONTEXT_PROVIDER,com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER,com.amazon.identity.permission.GENERIC_IPC,com.android.vending.BILLING,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.samsung.permission.USE_MHDR_SERVICE
com.amazon.amazonvideo.livingroom	606024040	6.24.4+v16.0.0.103-allAbis	com.amazon.amazonvideo.livingroom/base.apk	base	e33227e41d1449c7df14bea0a76a1f03829e23e17a0c0f564d575f264de068c4	5266946	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.FOREGROUND_SERVICE,android.permission.INTERNET,android.permission.POST_NOTIFICATIONS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,com.amazon.amazonvideo.livingroom.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.amazon.amazonvideo.livingroom.migrator.FILE_MIGRATION_SERVICE,com.android.providers.tv.permission.READ_EPG_DATA,com.android.providers.tv.permission.WRITE_EPG_DATA,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID
com.amazon.amazonvideo.livingroom	606024040		com.amazon.amazonvideo.livingroom/split_config.arm64_v8a.apk	split:config.arm64_v8a	e0230778eed3b6b3a4a837f8c220d18d3321ce113b59b87ebda8cbcd31c18e3c	22442820	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.amazon.amazonvideo.livingroom	606024040		com.amazon.amazonvideo.livingroom/split_config.en.apk	split:config.en	491795c6ef066971daac2cbfbc566a2b94462d1d9cad391599c7b18f91574029	33177	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.amazon.amazonvideo.livingroom	606024040		com.amazon.amazonvideo.livingroom/split_config.es.apk	split:config.es	0ba39b4ee8a5d72327e540be5acd4e16d21954e79e23f4b6174919209102bb96	24985	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.amazon.amazonvideo.livingroom	606024040		com.amazon.amazonvideo.livingroom/split_config.tvdpi.apk	split:config.tvdpi	41b50ea0a37469571f7fea702aec3d6fac22fb1699cd1e26af415a8a501534cd	74089	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.amazon.kindle	1286465011	8.153.0.100(2.0.93586.0)	com.amazon.kindle/base.apk	base	a5dedb40f710a5cd5738db9ae2bef5e553ac40f3acd9c3783ac0fbba4b92e603	130549321	2f19adeb284eb36f7f07786152b9a1d14b21653203ad0b04ebbf9c73ab6d7625	CN=Amazon Services LLC, OU="Java Object Signing O=Amazon Services LLC L=Las Vegas", ST="Nevada C=US"	v2	false		amazon.permission.COLLECT_METRICS,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.BLUETOOTH,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH_ADVERTISE,android.permission.BLUETOOTH_CONNECT,android.permission.BLUETOOTH_SCAN,android.permission.BROADCAST_STICKY,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.POST_NOTIFICATIONS,android.permission.READ_BASIC_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,android.permission.USE_CREDENTIALS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.amazon.STORE_ACCESS,com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER,com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED,com.amazon.dcp.messaging.permission.HANDLE_DEVICE_MESSAGE,com.amazon.dcp.metrics.permission.METRICS_PERMISSION,com.amazon.dcp.permission.USE_PERSISTENCE_HELPER,com.amazon.dcp.settings.permission.READ_SETTINGS,com.amazon.dcp.sso.permission.AMAZON_ACCOUNT_PROPERTY,com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed,com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE,com.amazon.dcp.sso.permission.MANAGE_COR_PFM,com.amazon.dcp.sso.permission.MANAGE_DEVICE_AND_USER_DATA,com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS,com.amazon.dcp.sso.permission.account.changed,com.amazon.device.messaging.permission.RECEIVE,com.amazon.identity.auth.device.perm.AUTH_SDK,com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER,com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER,com.amazon.identity.permission.GENERIC_IPC,com.amazon.kindle.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.amazon.kindle.cms.CMS_ACCESS,com.amazon.kindle.otter.settings.RECEIVE_GOODREADS_UNLINK,com.amazon.kindle.permission.RECEIVE_ADM_MESSAGE,com.amazon.kindle.socialsharing.PERMISSION_SHARE,com.amazon.whisperjoin.deviceprovisioningservice.AllowListPolicyUpdatePermission,com.amazon.whisperjoin.deviceprovisioningservice.ArcusUpdatePermission,com.amazon.whisperjoin.deviceprovisioningservice.FFSServiceAction.permission,com.android.vending.BILLING,com.audible.hushpuppy.tablet.permission.COMPANION_MAPPING,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY
com.apple.atve.androidtv.appletv	2050085	2.5.0	com.apple.atve.androidtv.appletv/base.apk	base	6f2893c493344f0561d34f928660d3ff7a12dfed6797c47972ef59fba10bcc10	32690243	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,android.permission.INTERNET,android.permission.POST_NOTIFICATIONS,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_BIOMETRIC,android.permission.USE_FINGERPRINT,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.android.providers.tv.permission.WRITE_EPG_DATA,com.android.vending.BILLING,com.apple.atve.androidtv.appletv.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.apple.atve.androidtv.appletv	2050085		com.apple.atve.androidtv.appletv/split_config.arm64_v8a.apk	split:config.arm64_v8a	5eac94ca292a0a72cc7f4ae699fa28060f61aee550859e4ab5f7c2369a6d21db	78103878	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.apple.atve.androidtv.appletv	2050085		com.apple.atve.androidtv.appletv/split_config.en.apk	split:config.en	dd0ea0bfd7ade562ce2dd393eb5537bf7214062b6d69ffbce5f0f52db8074d5c	528793	771d8674d3d9837c9edf11b11873443998f19105abcecab425ed9b8e6fefff9b	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
